date,n,macro_score,ic_1d,q1_1d,q2_1d,q3_1d,q4_1d,q5_1d,ls_1d,ic_5d,q1_5d,q2_5d,q3_5d,q4_5d,q5_5d,ls_5d,ic_10d,q1_10d,q2_10d,q3_10d,q4_10d,q5_10d,ls_10d,ic_20d,q1_20d,q2_20d,q3_20d,q4_20d,q5_20d,ls_20d
2026-06-22,47,55.0,0.32469935245143383,-0.0012851024722087435,-0.007589420959941751,0.0028508185490606014,0.005264905675301591,0.002917917447599239,0.004203019919807982,0.3236586493987049,-0.0031213767514444045,-0.011529814239730762,0.01404809966302937,0.010343644254412303,0.008309530405533038,0.011430907156977442,0.1410730804810361,0.002589289695993735,-0.002179935312478534,0.0130888349274194,0.010572566623749675,0.0028808587006156072,0.0002915690046218721,0.10071692876965772,0.005275588459288938,0.0011815279770287636,0.008887549798028268,0.029897031606015326,-0.004231394542544442,-0.00950698300183338
2026-06-23,47,55.0,0.265063029412152,-0.003373637237182403,0.0015666521805145865,0.0010083551322735234,0.0031534431440609387,0.0005339113061047507,0.003907548543287153,0.17734474502772035,-0.015499141384503057,0.009296335676457983,0.010291294404060895,0.018997077817035968,-0.0079194729435051,0.007579668440997956,0.21741644646371977,-0.012642419827486595,0.01923913808095966,0.0008958201538396117,0.025941500549461045,-0.001127808120822249,0.011514611706664346,0.10552792946709803,-0.006651082859996526,0.014816579518533471,-0.0038777527012589827,0.036983243885461925,-0.0012938882393530916,0.005357194620643435
2026-06-24,47,55.0,0.23012431377004422,-0.004484100169260064,0.0006896249862731062,-0.00020573435230438383,0.004776606316116847,0.0019031794794084234,0.006387279648668487,0.2774212204695156,-0.011149756844650893,0.005048832436916031,0.006947958004899977,0.011979531202102909,0.004581737840674271,0.015731494685325163,0.15472679991171817,-0.006842602065390913,0.011291493137983388,0.006119860012678082,0.010636250556720152,0.005455535730708783,0.012298137796099695,0.09968198918079302,-0.01261409510109417,0.016558011433601028,0.017136673614802127,0.014781936338062882,0.006193492800100631,0.0188075879011948
2026-06-25,47,55.0,0.4577623598285025,-0.004311338844215895,-0.0006691198471178409,0.0007026816632388972,0.004884381376608367,0.003786638791123553,0.008097977635339447,0.15027464610259922,-0.009955189308150125,0.01373065256616209,0.00958045217727129,0.01456931870600036,-0.002280558015427203,0.007674631292722922,0.04712344616145377,-0.007393116413157197,0.012632657067424348,0.017309463431750056,0.015179245486633741,-0.006517829123609364,0.0008752872895478325,0.08441746183524235,-0.02468101156142518,0.024282545611707507,0.028785734182440396,0.018203309919391206,-0.010137469422544199,0.014543542138880981
2026-06-26,47,55.0,0.12698412831101316,-0.0025356915354993624,0.0017251669362881399,0.005489595318479972,0.0017745678868516463,0.0003633877095671645,0.0028990792450665267,0.1161129916432215,-0.005434037630127763,0.004664140998329162,0.011262736331085925,-0.0002138312045538715,0.00499802234798975,0.010432059978117515,-0.046086680448031644,0.0009328784186307005,0.00403865409549088,0.017126084096728975,0.007407620921369349,-0.007951999835539292,-0.008884878254169993,0.07257061977701344,-0.0061170500713776275,0.009996705631472765,0.01981220417508113,0.004136290957247028,0.002320243473186523,0.008437293544564151
2026-06-29,47,55.0,0.302466103077585,-0.001957904107930353,-0.0032597451819952575,0.0002457764863067973,-0.0017186945984988488,0.003267397568897749,0.005225301676828102,0.2259099722278961,0.0006220675641168238,-0.002106888603735769,-0.0011358463889824038,-0.0029774327835912053,0.014474227051418827,0.013852159487302004,0.19202636748626645,0.0070869948844931915,-0.010394066740020821,-0.009869866074417262,0.0001580669272731039,0.022217128916645363,0.015130134032152171,0.19688340297824067,0.015194035782018011,-0.022259258028678848,-0.0017670356814787841,0.001584158348148068,0.03207187928505982,0.01687784350304181
2026-06-30,47,55.0,0.3756433295408688,-0.0034289029609647858,0.00014031401273322745,0.0017192952719694689,0.0006105598588982902,0.007289872470463821,0.010718775431428606,0.09165558456315842,-0.002757862464835248,0.009267041632902435,0.0015827467709494576,0.003892391047268388,0.005812954307527396,0.008570816772362645,0.14231192025863273,-0.005922724547914882,0.010273476763455235,-0.0056369480328559585,0.011276341411655023,0.009246741676000158,0.015169466223915039,0.24345111104788453,-0.021490023263066316,0.02104650247408278,0.008971024367735534,0.007446564501184539,0.016632397497643236,0.038122420760709555
2026-07-01,47,55.0,0.23301532273700457,0.0006499544496683885,-0.0017273064303151688,0.002031070622725845,0.004928867322165316,0.003862767853897886,0.0032128134042294977,0.09517201519233487,-0.0011144669817387265,0.0015086583720054102,0.0011050477634000232,0.006812768826962381,0.001729936506250851,0.0028444034879895773,0.09280138783942737,-0.0008760602080779111,0.003805573697035541,0.000646145982875157,-0.0003724891222630027,0.011432614801788333,0.012308675009866243,0.19722463172603538,-0.002510117648182586,0.0005619943594903365,0.012430713058193012,0.007539578311313664,0.012995027322616171,0.015505144970798756
2026-07-02,47,55.0,-0.1295750218991631,-0.0009305755602474819,1.5053837750615232e-05,0.0019613903843988226,-0.0016938633813547987,-0.003538057761120661,-0.002607482200873179,-0.0004625614347136567,0.004275038282253052,-0.007492844077393405,0.008334358605858936,-0.0053761254734862535,0.0046983545202657125,0.00042331623801266077,0.003295750222334804,0.006021918658129411,-0.0014056325913576811,-0.0007450116934269754,-0.009846392818238958,0.008202042451694624,0.0021801237935652135,0.04880023136229078,0.00598177336090544,0.0013722137452879288,0.013646053561258056,-0.005647647421339312,0.010874475874091316,0.004892702513185876
2026-07-03,47,55.0,0.4012952495899509,-0.0033137170101786963,0.00024890357106083845,-0.0038163441463318565,0.0013630550045606205,0.005807409419004965,0.009121126429183661,0.28819243861042004,-0.0076069716265629635,0.0008773260480637621,-0.0008596114591550173,0.0008506653810773423,0.01264316023834491,0.020250131864907872,0.18168150925239562,-0.0009632937939470732,-0.008655697962272946,0.007685524426850813,-0.00233179509231477,0.01526840705846714,0.016231700852414214,-0.044177171568692,0.02184908103910519,-0.013864919328856362,0.002633135058977566,-0.00468092312840912,0.020878029600354675,-0.0009710514387505156
